date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:00	13240/13240	---M-Z	200	added ('OK')	text/css	etag:%2233b8-5ff043c4bf6bf-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-wishlist/cmsmasters-framework/css/plugin-style.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-wishlist/cmsmasters-framework/css/plugin-style8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:01	7950/7950	---M-Z	200	added ('OK')	text/css	etag:%221f0e-5ff043c4bf6bf-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-wishlist/cmsmasters-framework/css/plugin-adaptive.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-wishlist/cmsmasters-framework/css/plugin-adaptive8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:01	9139/9139	---M-Z	200	added ('OK')	text/css	etag:%2223b3-5ff043c4c15ff-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-ajax-search/cmsmasters-framework/css/plugin-style.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-ajax-search/cmsmasters-framework/css/plugin-style8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:02	183/183	---M-Z	200	added ('OK')	text/css	etag:%22b7-5ff043c4c15ff-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-ajax-search/cmsmasters-framework/css/plugin-adaptive.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/woocommerce/yith-woocommerce-ajax-search/cmsmasters-framework/css/plugin-adaptive8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:02	89815/89815	---M-Z	200	added ('OK')	text/javascript	etag:%2215ed7-5ff045022f767-gzip%22	https://accessories-shop.cmsmasters.net/wp-includes/js/jquery/jquery.min.js?ver=3.6.4	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-includes/js/jquery/jquery.min5aed.js	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:03	13424/13424	---M-Z	200	added ('OK')	text/javascript	etag:%223470-5ff045022e7c7-gzip%22	https://accessories-shop.cmsmasters.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-includes/js/jquery/jquery-migrate.min6b00.js	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:03	122953/122953	---M-Z	200	added ('OK')	text/javascript	etag:%221e049-5ff044c6e4dd8-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.utils.js?ver=7.7.8	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.utils91f9.js	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:04	32526/32526	---M-Z	200	added ('OK')	text/javascript	etag:%227f0e-5ff044c6e5d78-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.transitions.js?ver=7.7.8	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.transitions91f9.js	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:04	257674/257674	---M-Z	200	added ('OK')	text/javascript	etag:%223ee8a-5ff044c6e4dd8-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=7.7.8	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.kreaturamedia.jquery91f9.js	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:04	34179/34179	---M-Z	200	added ('OK')	text/javascript	etag:%228583-5ff0445332ec3-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/cookie-law-info/legacy/public/js/cookie-law-info-public.js?ver=3.0.9	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/cookie-law-info/legacy/public/js/cookie-law-info-public677a.js	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:06	165505/165505	---MCZ	200	added ('OK')	text/javascript	etag:%2228681-5ff044545bcb9-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/revslider/public/assets/js/rbtools.min.js?ver=6.6.14	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/revslider/public/assets/js/rbtools.min627e.js	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:06	415776/415776	---MCZ	200	added ('OK')	text/javascript	etag:%2265820-5ff044545bcb9-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/revslider/public/assets/js/rs6.min.js?ver=6.6.14	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/revslider/public/assets/js/rs6.min627e.js	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:07	20636/20636	---M-Z	200	added ('OK')	text/javascript	etag:%22509c-5ff043c4c259f-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/js/jsLibraries.min.js?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/js/jsLibraries.min8a54.js	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:07	121130/121130	---M-Z	200	added ('OK')	text/javascript	etag:%221d92a-5ff043c4c259f-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/js/jquery.iLightBox.min.js?ver=2.2.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/js/jquery.iLightBox.min3601.js	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:08	615/615	---M--	200	added ('OK')	image/png	etag:%22267-5478993019780%22	https://accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/cropped-favicon-1-32x32.png	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/cropped-favicon-1-32x32.png	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:09	6775/6775	---M--	200	added ('OK')	image/png	etag:%221a77-5478992f25540%22	https://accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/cropped-favicon-1-192x192.png	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/cropped-favicon-1-192x192.png	(from https://accessories-shop.cmsmasters.net/landing/)
11:52:09	13385/13385	---M--	200	added ('OK')	image/png	etag:%223449-5478993019780%22	https://accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/cropped-favicon-1-180x180.png	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/cropped-favicon-1-180x180.png	(from https://accessories-shop.cmsmasters.net/landing/)
